Index,Index1,Comments
180,7857,TATE ON TOP<br>TATE ON TOP<br>TATE ON TOP<br>but<br><br>PIERCE ON FLOP <br>PIERCE ON FLOP <br>PIERCE ON FLOP
181,7866,THANK U<br>TATE.
182,7946,Tate got him!!!
183,8046,Very good show
184,8077,"THE WORLD IS CRUEL.  <br>DON&#39;T BELIEVE WHAT YOU SEE, MANIPULATION IS REAL, THIS IS ALSO NOT REAL. NOBODY CARES."
185,8078,PIERS YOU LOST!!! EMBRACE IT!!!
186,8085,Old mN
187,8124,Tate
188,8126,First L for Tate
189,8135,🐖🐖🐖🐖
190,8365,😂😂😂😂AND TO IRRADICATE AMERICA TO .
191,8414,AT. Is great.
192,8432,Nice one
193,8470,Tate top G
194,8585,THEY ARE NOT NUMBERS. THEY ARE PEOPLE
195,8589,clown
196,8659,Free pls
197,8667,Common Tate W
198,8684,Tate won!
199,8738,Sick
200,8798,Thank you Tate
201,8838,GRIFTERS.
202,8864,1500?? 1500????
203,8970,Go 2 hell
204,8972,Great Interview
205,9087,L tate
206,9123,😂😂😂
207,9156,IT’S NOT BLACK AND WHITE PIERS.
208,9257,Tate for president
209,9353,Tate 100% WON.
210,9391,These 2 😂😂😂😂😂😂😂
211,9411,Checkmate
212,9485,Love you Tate !
213,9555,Special edition
214,9572,REALLY!!!!!!!!????????
215,9596,Top g
216,9642,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=27m49s"">27:49</a> 😂"
217,9930,4+4=?
218,9961,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=18m23s"">18:23</a> utilitarianism"
219,10023,Tate owning Morgan
220,10062,Tate 1-0
221,10106,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=10m20s"">10:20</a><br><a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=27m30s"">27:30</a>"
222,10190,Truth
223,10255,Top G
224,10290,Top G
225,10314,😅😅😅
226,10440,PIERS IS A LIAR!!!
227,10449,THERE&#39;S OIL IN GAZA
228,10450,😂😂😂😂😂😂😂
229,10455,ISRAEL APARTHEID REGIME
230,10458,BALFOUR DECLARATION
231,10485,..
232,10501,..
233,10524,Tate for president
234,10550,Long live TOP G
235,10555,Perfect
236,10657,Bravo Tate
237,10661,Bamboo Gate
238,10672,Tan Blue Plate
239,10781,Tate wins again
240,10789,Thank you Mr Tate
241,10798,&quot;Professional&quot; 😂😂😂
242,10808,Peacemaker- my ar*se
243,10859,و
244,10867,Thank you Tate
245,10901,Interesting
246,10907,Balls !
247,10913,Looks like Jon Cryer
248,10962,Free plalistene
249,10966,Double standards
250,10996,Tate for President🙏
251,11079,TOP G!
252,11089,Top G
253,11094,"Worst interview ever,"
254,11176,Top g
255,11202,Thank you Tate !
256,11208,Respect
257,11245,Salute top G
258,11281,WW2WAS THE PLAN TO SEND JUICE TO THERE &quot;Promis&quot; LAND...IT WAS AL PART OF THIS PLAN ALSO WW1!!!
259,11309,Long live Master PUTIN 🙏
260,11330,Top G boiiiiiii!
261,11472,Top G 🖖
262,11474,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=22m40s"">22:40</a>"
263,11509,Tate for president
264,11518,First
265,11627,MY G😂
266,11740,COMMON TATE WIN YALL
267,11789,GOD mp stop laying
268,11880,Hahhahahahahahahahahahhahahahahahahahahhahahaahahah
269,11912,pIERS PAID 150K AND A BOX OF CHOCOLATES FOR THIS
270,11942,Thank you Tate
271,11964,Top G!
272,12036,Top G
273,12043,&quot;i hAvE SpOKenN For MaNY yEArS fOR tHe plIGhT oF PaLeNStInIAnS&quot;
274,12057,ARE THEY A TERROR GROUP!
275,12076,Perfect
276,12093,Respect bro
277,12175,Hey Neo
278,12207,Roasted Morgan?
279,12272,Top G
280,12456,Top G
281,12641,"TBC <a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=4m49s"">4:49</a>"
282,12671,Wow.
283,12718,Tate for president!!!
284,12726,Great interview.
285,12742,&quot;AH OCTOBER THE SEVENTH &quot;
286,12758,Tate tate tate
287,12792,WHY IS THIS PIERS GUY NOT ACCEPTING WHAT TATE IS SAYING ABOUT HAMAS
288,12807,Nearly 12000????????????????
289,12891,Cancel Tate
