Index,Comments
12792,WHY IS THIS PIERS GUY NOT ACCEPTING WHAT TATE IS SAYING ABOUT HAMAS
12807,Nearly 12000????????????????
12891,Cancel Tate
12932,IT&#39;S NOT A WAR PIERS
12957,"SHAME ON YOU, PIERS!"
12969,Love tateeeeee
13023,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=15m30s"">15:30</a>"
13073,Wow.
13122,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=12m10s"">12:10</a> tate nailed"
13201,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=26m54s"">26:54</a>"
13227,Tate ur not professional
13313,A Man!
13357,Rare tate L
13367,assissinities
13404,Simply say
13421,TOP G
13485,omg
13517,Part one?
13604,So fragile
13606,Yes.
13633,😂
13649,May 1947
13690,Not helpful
13762,Angry Tate....
13782,W
13787,Top G great man
13793,Top g
13844,Anh
14040,Tate makes sense.
14057,Pears Roasted again
14082,John 1:1
14142,Min 23 😂😂
14165,Win Top G
14183,Like for Tate
14199,BIG RESPECT!!!
14205,L host
14288,Tates right
14366,PIERS IS OUT OF HIS LEAGUE HERE
14375,2037
14406,1024
14490,Piss Morgan...
14540,Top G
14571,Tate W
14701,Great response
14774,Top G orders 😂😂😂
14795,Tate 1-0.
14798,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=23m15s"">23:15</a> hahahahaa"
15085,Tate a G
15094,Top g
15221,My love for Tate
15311,God mode
15334,I SEE NO HUMANITY
15346,ISNOTREAL IS THE TERRORISTS
15384,L tate.
15425,PIERS IS A WISE MAN
15446,EDIOT
15519,Top g
15585,Top G
15595,"nice turning point<br> <a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=19m00s"">19:00</a>"
15719,PIERS IS AN INFORMATION SCAM
15737,Tate respect
15762,Coked up
15834,FREE ISRAEL
15867,Bravo Tate
15871,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=14m23s"">14:23</a> Oh clearly Not"
15887,Rare Tate L.
15898,&quot;
15906,1948
15907,1984
15975,Top G&#39;d
15997,Top G! Top G!
16026,Crap
16033,Pressure Cookers Explode. Bottom line.
16075,Top G
16116,THE PROGRAM SHOULD BE CALLED &quot;DO YOU CONDEMN HAMAS&#39; ACTIONS?&quot;
16138,All hail Tate!
16155,He Talks like a Lion
16156,Long live Tate!
16179,Top G &gt;&gt;&gt;&gt;&gt; Bassem Yousef
16185,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=4m10s"">4:10</a> win"
16191,Go Tate
16194,Go Tate
16198,Go Tate
16251,FREE PALESTINE
16284,😀
16423,"<a href=""https://www.youtube.com/watch?v=2pMsYSR7g78&amp;t=0m25s"">0:25</a> FACTS"
