Index,Index1,Comments
336,3418,Hl
337,3419,"<a href=""https://youtu.be/K7zTSQdgMiI"">https://youtu.be/K7zTSQdgMiI</a>"
338,3434,I love Kylie
339,3447,GLOG
340,3452,love  you
341,3458,Disgusting
342,3461,hi😙
343,3468,J
344,3470,gud
345,3474,y love you
346,3480,Were travis
347,3481,19th December 2017
348,3482,love
349,3490,Glog
350,3513,Hermosa😘
351,3526,Hi
352,3545,L
353,3552,Hi kylie!! IM YOURE BIGGEST FAN EVER!!
354,3599,Nice
355,3605,13.8.21.
356,3607,"<a href=""https://youtu.be/dtdXC7AOBt8"">https://youtu.be/dtdXC7AOBt8</a>"
357,3631,Same
358,3643,BAHAHA “GLOG”
359,3680,i&#39;m back lol
360,3739,Adopt me pls
361,3744,fan soy tu
362,3745,l love yuo
363,3761,.
364,3762,i love your makeup   soo much...
365,3771,Napim
366,3797,Wow
367,3804,LOVE YOU
368,3809,Hi
369,3821,“WE LOVE YOU HO3”
370,3831,Mamah
371,3848,CAN U ADOPT MEEEE
372,3858,Hi
373,3865,"YEAH, I&#39;M POOR 😞😞😞"
374,3873,&quot;I love you&quot;
375,3887,😀
376,3892,<b>Kylie</b>
377,3893,I love you Kylee
378,3943,STORMI IS ADORABLE
379,3945,Lo ca
380,3957,"<a href=""https://youtu.be/qjXY-80QHRY"">https://youtu.be/qjXY-80QHRY</a>"
381,3960,I live in Honduras
382,3961,I love you
383,3968,STORMI IS SUCH A CUTIE
384,4003,Hey
385,4022,I love food
386,4025,I m Slipknot Slipknot
387,4026,I M METS  FANS
388,4030,Some time I like VIKINGS MN
389,4031,I m Vegas raiders fans
390,4037,SPREAD THE GOSPEL JESUS LOVES YOU SO MUCH
391,4046,"<a href=""https://youtu.be/ejM2rAnDHw0"">https://youtu.be/ejM2rAnDHw0</a>"
392,4053,I love you
393,4076,"<a href=""https://youtu.be/c8Qz0aiQ93Y"">https://youtu.be/c8Qz0aiQ93Y</a>"
394,4077,"<a href=""https://youtu.be/VmCRCVVXn4I"">https://youtu.be/VmCRCVVXn4I</a>"
395,4079,Hi kylie
396,4102,I love stormiii
397,4103,&quot;
398,4144,Hi
399,4157,Glog
400,4200,AND BY THE WAY U ARE A GRATEMOM
401,4219,"<a href=""https://youtu.be/QOuIX1WS1y0"">https://youtu.be/QOuIX1WS1y0</a>"
402,4220,Ahh
403,4226,WOW
404,4240,Cubana
405,4248,Cute baby
406,4259,Hi
407,4267,"<a href=""https://youtu.be/I6bmY04HU8I"">https://youtu.be/I6bmY04HU8I</a>"
408,4268,I lovee krisss
409,4293,I subscribed &lt;3
410,4304,Kylie
411,4311,Honey I love your videos
412,4314,THE ELEVATOR PART OMG I BARELY CAN BREATH
413,4318,5.49
414,4321,Hi
415,4325,I love you Kylie
416,4335,We need more vlogs
417,4341,&quot;So cyoo !&quot;
418,4377,Gorgrous lady
419,4391,atorment
420,4399,Tankiyu
421,4400,You Speak Spanish You Speak Spanish
422,4452,LOVE
423,4460,Lol
424,4467,Great Artwork
425,4469,Stormy looks so cute
426,4472,Shut up
427,4479,WHATS THE VIBE SONG WHEN SHE RIDES HER BLUE RR????????????????? LMAO SIRI CAN&#39;T FIND IT
428,4483,hi
429,4489,I love u
430,4490,Omg omg omg
431,4519,"<a href=""https://youtu.be/4hdXqpbm_EA"">https://youtu.be/4hdXqpbm_EA</a>"
432,4523,Pin?
433,4554,FELOL
434,4583,.
435,4601,Hi
436,4604,"<a href=""https://youtu.be/nSE-6cq9dsA"">https://youtu.be/nSE-6cq9dsA</a>"
437,4607,"<a href=""https://youtube.com/channel/UC77aK9Nzq4AhC4pBPJKirMw"">https://youtube.com/channel/UC77aK9Nzq4AhC4pBPJKirMw</a>"
438,4615,"<a href=""https://youtu.be/ePv7h0B1Q2A"">https://youtu.be/ePv7h0B1Q2A</a><br>Hallo"
439,4616,Hello
440,4621,Stormy: mama
441,4626,ok
442,4630,cat  cup
443,4647,Hi I love you
444,4660,Love your style
445,4667,Kyliee
446,4668,Hii
447,4684,.MY EARS. THO
448,4696,i like your  content
449,4701,"BILIJAR,POKER, U PIKADU LOS,JEZIK GOVOR 0,00000000,"
450,4727,Nice
451,4733,I love you Kylie
452,4740,"<a href=""https://youtube.com/shorts/mHxTHP7pl1s?feature=share"">https://youtube.com/shorts/mHxTHP7pl1s?feature=share</a>"
453,4758,I love you  k
454,4767,shit
455,4790,hi
456,4799,Hollo
457,4804,Hello
458,4808,"<a href=""https://youtu.be/q_gtUx5PRAY"">https://youtu.be/q_gtUx5PRAY</a>"
459,4831,&quot;Its vlog&quot;<br><b>&quot;Glog&quot;</b>
460,4848,Kylie
461,4849,Kylie
462,4850,Kylie!!
463,4856,OMG
464,4878,100k comment😏
465,4889,"<a href=""https://youtu.be/bAQzZvutTlo"">https://youtu.be/bAQzZvutTlo</a>"
466,4896,11111
467,4916,Love cardachans
468,4917,Love cardachans
469,4934,2021?
470,4938,Wish I hade a mom like Stormi
471,4943,Wow
472,4944,Queen
473,4945,Wow
474,4949,THAT&#39;S A LOT OF PURSE-
475,4952,Omg
476,4953,I like u
477,4955,Stormi bad
