Index,Comments
5238,I love your outfit kylie
5246,Hi
5249,100% Plastic
5257,cute
5258,Nice
5259,https://youtu.be/rpsH1Prhza4
5260,https://youtu.be/rpsH1Prhza4
5261,https://youtu.be/rpsH1Prhza4
5262,https://youtu.be/rpsH1Prhza4
5263,https://youtu.be/rpsH1Prhza4
5264,https://youtu.be/rpsH1Prhza4
5265,https://youtu.be/rpsH1Prhza4
5266,https://youtu.be/rpsH1Prhza4
5267,https://youtu.be/rpsH1Prhza4
5268,https://youtu.be/rpsH1Prhza4
5269,https://youtu.be/rpsH1Prhza4
5270,https://youtu.be/rpsH1Prhza4
5271,https://youtu.be/rpsH1Prhza4
5272,https://youtu.be/rpsH1Prhza4
5273,https://youtu.be/rpsH1Prhza4
5274,https://youtu.be/rpsH1Prhza4
5275,https://youtu.be/rpsH1Prhza4
5281,shut up
5290,AND KARDASIAN IS PRETTY
5291,AND STORMI PRETTY
5295,Gosh I love Ariel
5302,THIS SHOWS ME I AM BROKEEE!
5304,I love you Kylie
5312,Happy birthday arriel
5329,"<a href=""https://youtube.com/channel/UCMOvtGc7tj5HJ6dwCADrxTA"">https://youtube.com/channel/UCMOvtGc7tj5HJ6dwCADrxTA</a>"
5345,&quot;Glog&quot;
5346,Beauty
5350,"<a href=""https://youtu.be/h_oubvBX_rI"">https://youtu.be/h_oubvBX_rI</a>"
5351,So cute
5355,Hi
5364,Xd
5365,Xd
5366,Xd
5367,Xd
5368,Xd
5385,Areee bc kiti ads
5398,i love you kylie!
5414,Jose
5415,GIRL I LOVE YOU SO MUCH
5419,i love you
5421,SOOOOOO MANY BAGS
5437,I love you
5471,great !!!!
5479,Love it
5483,Y love
5499,"*_6%=^4,^3$3/=+"
5557,Love you kylie
5589,Hiiiiii
5606,2022??
5608,Jai
5644,“GLOG”
5667,happy 2021
5696,I love
5698,AAAAAAAAA
5709,OMG*
5715,Me favorite
5755,WHJEJWIWIWIWWI
5776,Love you
5784,kajly superrrrrrrrrrr
5815,Hi glog
5822,Omg I love you Kylie
5867,Hii
5870,"<a href=""https://youtu.be/yz95mLpz5Bs"">https://youtu.be/yz95mLpz5Bs</a>"
5872,E
5874,.
5899,Hi. Kylie
5908,Thanks
5916,I love you
5920,<b>AND I CAN&#39;T EVEN AFFORD TO WATCH THIS VIDEO</b>
5932,wish my life like Kylie
5949,AAAAAAAAAAAAAAA
5952,.
5957,Hi
5979,Love you so much
5998,i love
6000,i love kylie
6005,"tip:<br>speed 1,5x"
6012,Hi Kylie!
6013,Hola
6021,Plastic sisters
6024,=]]
6037,For you
6095,ok
6099,wow
6106,"<a href=""https://youtu.be/d2_Zcoe7cDk"">https://youtu.be/d2_Zcoe7cDk</a>"
6114,Overacting
6123,WE NEED ANOTHER PART
6137,https://youtu.be/OmYKGP-5tx4
6147,I love kylie
6165,&quot;It&#39;s Your <b>*****</b> birthday
6199,Tinker bell
6219,"ce214378@<a href=""http://gmail.com/"">gmail.com</a>"
6221,SOOOOOO CUTE !!!!!!!!!!!
6254,"ce214378@<a href=""http://gmail.com/"">gmail.com</a>"
6278,"<a href=""https://youtu.be/fLT02ZoNDvM"">https://youtu.be/fLT02ZoNDvM</a>"
6293,"<a href=""https://youtu.be/D4rhHXZlG4I"">https://youtu.be/D4rhHXZlG4I</a>"
6325,wwo  wey          wooooooo             nomames
6333,Mama
6335,"ce214378@<a href=""http://gmail.com/"">gmail.com</a>"
6337,dam girl
6346,Toooooooop
6380,I love you Kylie
6432,I love you!!🐙🐙
6444,PLEASE MAKE MORE!
6446,YOU GO GIRLS P.S CUTE OUTFIT LOVING IT!!!
6452,A clear purse 😂😂😂
6464,Storming 8s so cute
6472,"<a href=""https://youtu.be/d-s6ynPkldQ"">https://youtu.be/d-s6ynPkldQ</a>"
6485,"<a href=""https://youtu.be/GLsCeqH3BZw"">https://youtu.be/GLsCeqH3BZw</a>"
6495,hhq
6498,"<a href=""https://youtu.be/mS04x2LG9cs"">https://youtu.be/mS04x2LG9cs</a>"
6512,She’s so fresh
6515,https://youtu.be/efzUXem2D2E?t=197
6528,loveeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
6543,"<a href=""https://www.youtube.com/watch?v=I7KtyxmVV5A&amp;ab_channel=TMGRecordsChannel"">https://www.youtube.com/watch?v=I7KtyxmVV5A&amp;ab_channel=TMGRecordsChannel</a>"
6544,Oop
6545,2021?
6546,nobody:<br>AAAAAA!!!!!! ARIEEL!!!!! AAAAAAAAAAAAAAAAAAAA!!!!!!!!!!!!!!!!!!!
6559,Speaker Spanish
6560,"<a href=""https://youtu.be/fHe08cscs-0"">https://youtu.be/fHe08cscs-0</a>"
6568,More vlogs pls
6570,happy 2021
6571,happy 2021
6585,.<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>.<br><br><br><br><br><br><br><br><br><br>..<br><br><br><br><br>.................   ................... .....................<br>................<br>...............<br>...............<br>.............<br>............<br>..<br>.<br>..................<br><br><br><br><br><br>.
6586,.<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>.<br><br>.<br><br><br><br><br>.<br><br><br>.<br><br><br>.<br><br><br>.
6604,Kylie&#39;s mom: GLOG<br>Kylie: VLOG MOMMY
6606,purse ALERT
6611,OKOK GOON
6629,Help my channel
6641,Glog
6677,I played your game it’s so fun!!
6683,very cool
