Index,Index1,Comments
334,8264,Thanks for sharing
335,8278,OH MY GOD :O
336,8289,OMG
337,8339,Ur a model
338,8361,you look like my mom
339,8362,She&#39;s gorgeous! &lt;3&lt;3
340,8363,Thank you
341,8376,IMPAKTADA
342,8420,AMAZING!
343,8462,YOU&#39;RE BEAUTIFUL WITHOUT MAKEUP!
344,8495,Wwwwwwwwoooooooooooowwwwwww
345,8528,If you stop using MAC face products
346,8559,YOU ARE SOOOOOOOOOOOOOOOOOOOOOOOO PRETTY!!!!!!!!!!!!!!!!!!
347,8566,hard luck!
348,8568,I love you so much &lt;3 
349,8573,LOVE your eyes!
350,8625,Check out my channel! :)
351,8645,If you keep putting mac
352,8649,Try proactiv
353,8668,Cool
354,8679,Ypu&#39;re gorgeous!
355,8692,Ugly bitch
356,8711,Check out our channel!:)
357,8760,God Bless You...
358,8763,You idiot
359,8790,wow
360,8793,gross
361,8835,gross.
362,8866,*eyes *you
363,8970,LoL
364,8994,Yeah
365,9006,"
skincarEkit.info"
366,9084,aww ure sweet..
367,9085,You&#39;re brave 3
368,9097,"ACNE 101

MY PAGE :)"
369,9102,Your gorgeous!
370,9132,"
skincarEkit.info"
371,9134,1:16 HOLY SHIT 
372,9138,Ur gorgeous!
373,9148,Cool
374,9150,"So cute, girl! 
OXXO&#39;s!! ;)"
375,9175,respect!!! mwahhhh
376,9226,UR So ORETTY
377,9227,wow!!
378,9239,YOU ARE SO BEAUTIFUL WITHOUT MAKE UP :*
379,9281,I love your eyes!!
380,9290,You rock&#39;s
381,9302,Me too
382,9316,INVESTIGATION DISCOVERY
383,9319,"me too
"
384,9380,You&#39;re so brave :)
385,9402,I&#39;m sorry ..
386,9408,You. Are. Gorgeous.
387,9415,Wahoo
388,9458,Respect!!! 
389,9475,:OO...
390,9493,Real respect x
391,9506,It looks terrible!
392,9535,Ugly man
393,9541,"
skincarEkit.info"
394,9546,I love ur eyes
395,9549,Im loving your eyes!
396,9585,"
skincarEkit.info"
397,9613,Like...nice
398,9666,ehh........
399,9691,woooow .............................
400,9755,"
skincarEkit.info"
401,9762,OMG YOU ARE SOSOSOSOSOSOSOSOSOSOSOOOOOOOOOOOOO PRETTY!
402,9835,"
skincarEkit.info"
403,9888,waw
404,9945,eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeewwwwwwwwwwwww
405,10136,"
skincarEkit.info"
406,10184,"
skincarEkit.info"
407,10194,LOVE THIS U ARE TRULY BEAUTIFUL
408,10206,ecm2
409,10239,"U ARE BEAUTIFUL, U DON&#39;T NEED MAKE UP "
410,10270,"
skincarEkit.info"
411,10310,"
skincarEkit.info"
412,10348,"
skincarEkit.info"
413,10355,Love your eyes
414,10496,Woah. On your face?
415,10503,Advertising? Sure.
416,10512,"
skincarEkit.info"
417,10517,You&#39;re so brave ;)
418,10558,wow *__* 
419,10600,Wow!!!
